Date:Time, Run Delay
14:23:01.96:13-03-2021, 55.8s
9:02:44.32:14-03-2021, 658.4s
9:42:46.49:14-03-2021, 458.2s
10:29:47.80:14-03-2021, 214.6s
10:44:47.06:14-03-2021, 85.5s
11:31:21.36:14-03-2021, 361.0s
12:32:49.13:14-03-2021, 208.1s
15:07:49.69:14-03-2021, 401.8s
16:04:26.92:14-03-2021, 205.2s
16:12:12.38:14-03-2021, 159.4s
17:04:16.54:16-03-2021, 419.2s
17:21:18.30:16-03-2021, 172.4s
17:34:03.19:16-03-2021, 238.3s
9:13:11.04:17-03-2021, 305.0s
10:34:49.89:17-03-2021, 102.1s
10:39:35.19:17-03-2021, 224.8s
10:47:39.47:17-03-2021, 371.5s
10:55:10.34:17-03-2021, 110.8s
10:49:18.46:19-03-2021, 495.9s
9:51:31.12:22-03-2021, 868.9s
10:54:28.69:22-03-2021, 197.3s
11:55:33.64:22-03-2021, 71.9s
12:15:19.15:22-03-2021, 441.8s
12:31:05.68:22-03-2021, 356.2s
12:47:24.49:22-03-2021, 278.4s
8:23:05.14:23-03-2021, 785.0s
8:41:25.78:23-03-2021, 478.4s
9:22:24.84:23-03-2021, 456.8s
11:31:09.19:27-03-2021, 1458.2s
15:37:38.90:27-03-2021, 483.4s
