date,pooja
06-01-2023,Pournami Pooja
09-01-2023,Aayilyam Pooja
10-01-2023,Aayilyam Pooja
21-01-2023,Amavasay Pooja
05-02-2023,Pournami Pooja
06-02-2023,Aayilyam Pooja
20-02-2023,Amavasay Pooja
05-03-2023,Aayilyam Pooja
07-03-2023,Pournami Pooja
21-03-2023,Amavasay Pooja
05-04-2023,Pournami Pooja
19-04-2023,Amavasay Pooja
29-04-2023,Aayilyam Pooja
05-05-2023,Pournami Pooja
19-05-2023,Amavasay Pooja
26-05-2023,Aayilyam Pooja
03-06-2023,Pournami Pooja
17-06-2023,Amavasay Pooja
22-06-2023,Aayilyam Pooja
03-07-2023,Pournami Pooja
17-07-2023,Amavasay Pooja
20-07-2023,Aayilyam Pooja
16-08-2023,Amavasay Pooja
16-08-2023,Aayilyam Pooja
30-08-2023,Pournami Pooja
12-09-2023,Aayilyam Pooja
14-09-2023,Amavasay Pooja
29-09-2023,Pournami Pooja
09-10-2023,Aayilyam Pooja
14-10-2023,Amavasay Pooja
28-10-2023,Pournami Pooja
06-11-2023,Aayilyam Pooja
13-11-2023,Amavasay Pooja
27-11-2023,Pournami Pooja
03-12-2023,Aayilyam Pooja
12-12-2023,Amavasay Pooja
26-12-2023,Pournami Pooja
